,RLG Index,RLV Index,VIX Index,,,,RLG Index,RLV Index,,,,,,,,,,
,PX_LAST,PX_LAST,PX_LAST,Spread,,,Return,Return,,,,,,,,,,
#NAME?,200.00,#NAME?,#NAME?,,,,,,,,,,,,,,,
9/1/92,201.17,200.83,13.40,#NAME?,,,0.58%,#NAME?,,,vix_index,r_growth_(t-1),r_value_(t-1),p_growth_(t-1),p_value_(t-1),p_joint_(t-1),p_spread_(t-1),spread
2/27/98,507.05,500.39,18.55,0.72%,,,-0.53%,0.19%,,2/27/98,18.63%,-0.1195%,0.5152%,45.5369%,#NAME?,38.72%,#NAME?,0.7219%
3/2/98,507.18,501.79,19.19,0.25%,,,0.03%,0.28%,,3/2/98,18.55%,-0.5277%,0.1942%,33.7196%,#NAME?,23.00%,#NAME?,0.2541%
3/3/98,505.23,505.14,19.04,1.05%,,,-0.38%,0.67%,,3/3/98,19.19%,0.0256%,0.2798%,49.8976%,#NAME?,42.86%,#NAME?,1.0521%
3/4/98,497.27,503.24,19.58,1.20%,,,-1.58%,-0.38%,,3/4/98,19.04%,-0.3845%,0.6676%,37.7505%,#NAME?,28.64%,#NAME?,1.1994%
3/5/98,508.67,499.31,20.93,-3.07%,,,2.29%,-0.78%,,3/5/98,19.58%,-1.5755%,-0.3761%,11.2987%,#NAME?,6.73%,#NAME?,-3.0735%
3/6/98,507.16,507.32,19.14,1.90%,,,-0.30%,1.60%,,3/6/98,20.93%,2.2925%,-0.7809%,95.6183%,#NAME?,15.75%,#NAME?,1.9011%
3/9/98,513.28,505.75,20.23,-1.52%,,,1.21%,-0.31%,,3/9/98,19.14%,-0.2969%,1.6042%,40.2873%,#NAME?,32.19%,#NAME?,-1.5162%
3/10/98,515.09,511.16,19.43,0.72%,,,0.35%,1.07%,,3/10/98,20.23%,1.2067%,-0.3095%,81.2910%,#NAME?,29.85%,#NAME?,0.7171%
3/11/98,516.13,514.11,18.89,0.38%,,,0.20%,0.58%,,3/11/98,19.43%,0.3526%,1.0697%,59.6455%,#NAME?,63.66%,#NAME?,0.3752%
3/12/98,514.68,514.35,18.25,0.33%,,,-0.28%,0.05%,,3/12/98,18.89%,0.2019%,0.5771%,55.1893%,#NAME?,54.11%,#NAME?,0.3276%
3/13/98,518.30,514.57,18.71,-0.66%,,,0.70%,0.04%,,3/13/98,18.25%,-0.2809%,0.0467%,40.7528%,#NAME?,28.24%,#NAME?,-0.6606%
3/16/98,518.44,520.66,18.51,1.16%,,,0.03%,1.18%,,3/16/98,18.71%,0.7033%,0.0428%,69.4565%,#NAME?,47.63%,#NAME?,1.1565%
3/17/98,520.41,522.15,18.66,-0.09%,,,0.38%,0.29%,,3/17/98,18.51%,0.0270%,1.1835%,49.9389%,#NAME?,47.96%,#NAME?,-0.0938%
3/18/98,520.99,525.12,18.29,0.46%,,,0.11%,0.57%,,3/18/98,18.66%,0.3800%,0.2862%,60.4427%,#NAME?,54.15%,#NAME?,0.4574%
3/19/98,523.47,528.53,17.76,0.17%,,,0.48%,0.65%,,3/19/98,18.29%,0.1115%,0.5688%,52.4793%,#NAME?,50.12%,#NAME?,0.1734%
3/20/98,522.24,533.71,18.69,1.22%,,,-0.23%,0.98%,,3/20/98,17.76%,0.4760%,0.6494%,63.2050%,#NAME?,64.49%,#NAME?,1.2150%
3/23/98,527.58,531.01,19.98,-1.53%,,,1.02%,-0.51%,,3/23/98,18.69%,-0.2350%,0.9801%,42.1045%,#NAME?,34.59%,#NAME?,-1.5284%
3/24/98,527.02,535.55,20.51,0.96%,,,-0.11%,0.85%,,3/24/98,19.98%,1.0225%,-0.5059%,77.3275%,#NAME?,22.68%,#NAME?,0.9611%
3/25/98,527.40,532.75,22.54,-0.59%,,,0.07%,-0.52%,,3/25/98,20.51%,-0.1061%,0.8550%,45.9374%,#NAME?,40.41%,#NAME?,-0.5949%
3/26/98,525.11,531.59,22.81,0.22%,,,-0.43%,-0.22%,,3/26/98,22.54%,0.0721%,-0.5228%,51.2962%,#NAME?,20.41%,#NAME?,0.2165%
3/27/98,525.15,528.72,23.47,-0.55%,,,0.01%,-0.54%,,3/27/98,22.81%,-0.4342%,-0.2177%,36.3333%,#NAME?,20.33%,#NAME?,-0.5475%
3/30/98,529.48,526.88,24.66,-1.17%,,,0.82%,-0.35%,,3/30/98,23.47%,0.0076%,-0.5399%,49.3551%,#NAME?,19.54%,#NAME?,-1.1725%
3/31/98,534.31,530.47,24.22,-0.23%,,,0.91%,0.68%,,3/31/98,24.66%,0.8245%,-0.3480%,72.5837%,#NAME?,28.14%,#NAME?,-0.2308%
4/1/98,539.52,531.64,23.37,-0.75%,,,0.98%,0.22%,,4/1/98,24.22%,0.9122%,0.6814%,74.7435%,#NAME?,73.57%,#NAME?,-0.7545%
4/2/98,541.13,537.20,21.98,0.75%,,,0.30%,1.05%,,4/2/98,23.37%,0.9751%,0.2206%,76.2351%,#NAME?,58.43%,#NAME?,0.7474%
4/3/98,536.04,538.16,21.82,1.12%,,,-0.94%,0.18%,,4/3/98,21.98%,0.2984%,1.0458%,58.0537%,#NAME?,61.28%,#NAME?,1.1193%
4/6/98,529.83,541.30,22.47,1.74%,,,-1.16%,0.58%,,4/6/98,21.82%,-0.9406%,0.1787%,23.2174%,#NAME?,14.61%,#NAME?,1.7420%
4/7/98,528.02,536.84,23.66,-0.48%,,,-0.34%,-0.82%,,4/7/98,22.47%,-1.1585%,0.5835%,18.5097%,#NAME?,11.93%,#NAME?,-0.4823%
4/8/98,530.97,531.47,23.17,-1.56%,,,0.56%,-1.00%,,4/8/98,23.66%,-0.3416%,-0.8239%,38.9855%,#NAME?,12.18%,#NAME?,-1.5590%
4/9/98,530.97,536.86,21.51,1.01%,,,0.00%,1.01%,,4/9/98,23.17%,0.5587%,-1.0003%,65.5301%,#NAME?,11.85%,#NAME?,1.0142%
4/10/98,529.03,536.86,21.51,0.37%,,,-0.37%,0.00%,,4/10/98,21.51%,0.0000%,1.0142%,49.1258%,#NAME?,46.27%,#NAME?,0.3654%
4/13/98,531.41,538.70,22.77,-0.11%,,,0.45%,0.34%,,4/13/98,21.51%,-0.3654%,0.0000%,38.2997%,#NAME?,25.30%,#NAME?,-0.1071%
4/14/98,532.68,542.38,21.61,0.44%,,,0.24%,0.68%,,4/14/98,22.77%,0.4499%,0.3427%,62.4592%,#NAME?,57.35%,#NAME?,0.4441%
4/15/98,525.22,544.68,20.89,1.82%,,,-1.40%,0.42%,,4/15/98,21.61%,0.2390%,0.6831%,56.2939%,#NAME?,56.65%,#NAME?,1.8245%
4/16/98,533.51,541.60,22.06,-2.14%,,,1.58%,-0.57%,,4/16/98,20.89%,-1.4005%,0.4241%,14.0361%,#NAME?,9.32%,#NAME?,-2.1439%
4/17/98,537.31,546.71,20.76,0.23%,,,0.71%,0.94%,,4/17/98,22.06%,1.5784%,-0.5655%,87.8825%,#NAME?,20.93%,#NAME?,0.2312%
4/20/98,539.36,544.06,20.39,-0.87%,,,0.38%,-0.48%,,4/20/98,20.76%,0.7123%,0.9435%,69.6919%,#NAME?,74.32%,#NAME?,-0.8662%
4/21/98,541.92,544.41,19.91,-0.41%,,,0.47%,0.06%,,4/21/98,20.39%,0.3815%,-0.4847%,60.4876%,#NAME?,22.78%,#NAME?,-0.4103%
4/22/98,536.53,545.17,19.44,1.13%,,,-0.99%,0.14%,,4/22/98,19.91%,0.4746%,0.0643%,63.1657%,#NAME?,46.94%,#NAME?,1.1342%
4/23/98,532.52,539.83,20.60,-0.23%,,,-0.75%,-0.98%,,4/23/98,19.44%,-0.9946%,0.1396%,21.9926%,#NAME?,13.74%,#NAME?,-0.2321%
4/24/98,520.95,532.86,21.97,0.88%,,,-2.17%,-1.29%,,4/24/98,20.60%,-0.7474%,-0.9795%,27.8973%,#NAME?,8.37%,#NAME?,0.8815%
4/27/98,521.33,522.75,26.09,-1.97%,,,0.07%,-1.90%,,4/27/98,21.97%,-2.1727%,-1.2911%,4.8315%,#NAME?,2.48%,#NAME?,-1.9703%
4/28/98,527.38,522.56,24.17,-1.20%,,,1.16%,-0.04%,,4/28/98,26.09%,0.0729%,-1.8973%,51.3214%,#NAME?,3.85%,#NAME?,-1.1968%
4/29/98,536.47,525.86,22.78,-1.09%,,,1.72%,0.63%,,4/29/98,24.17%,1.1605%,-0.0363%,80.3389%,#NAME?,44.01%,#NAME?,-1.0921%
4/30/98,537.80,532.88,21.18,1.09%,,,0.25%,1.33%,,4/30/98,22.78%,1.7236%,0.6315%,89.9502%,#NAME?,76.81%,#NAME?,1.0870%
5/1/98,539.28,539.54,19.34,0.97%,,,0.28%,1.25%,,5/1/98,21.18%,0.2479%,1.3350%,56.5592%,#NAME?,59.62%,#NAME?,0.9746%
5/4/98,537.03,539.56,20.32,0.42%,,,-0.42%,0.00%,,5/4/98,19.34%,0.2752%,1.2498%,57.3679%,#NAME?,60.77%,#NAME?,0.4209%
5/5/98,531.62,535.72,21.46,0.30%,,,-1.01%,-0.71%,,5/5/98,20.32%,-0.4172%,0.0037%,36.8153%,#NAME?,24.08%,#NAME?,0.2957%
5/6/98,527.17,531.31,22.79,0.01%,,,-0.84%,-0.82%,,5/6/98,21.46%,-1.0074%,-0.7117%,21.7081%,#NAME?,8.82%,#NAME?,0.0139%
5/7/98,534.89,526.61,23.39,-2.35%,,,1.46%,-0.88%,,5/7/98,22.79%,-0.8371%,-0.8232%,25.6698%,#NAME?,9.08%,#NAME?,-2.3490%
5/8/98,532.89,530.88,20.57,1.18%,,,-0.37%,0.81%,,5/8/98,23.39%,1.4644%,-0.8846%,86.0626%,#NAME?,13.78%,#NAME?,1.1848%
5/11/98,536.92,530.94,21.05,-0.74%,,,0.76%,0.01%,,5/11/98,20.57%,-0.3739%,0.8108%,38.0540%,#NAME?,29.15%,#NAME?,-0.7450%
5/12/98,539.14,534.23,20.98,0.21%,,,0.41%,0.62%,,5/12/98,21.05%,0.7563%,0.0113%,70.8412%,#NAME?,46.06%,#NAME?,0.2062%
5/13/98,537.39,534.35,20.44,0.35%,,,-0.32%,0.02%,,5/13/98,20.98%,0.4135%,0.6197%,61.4126%,#NAME?,62.18%,#NAME?,0.3471%
5/14/98,530.84,534.83,19.64,1.31%,,,-1.22%,0.09%,,5/14/98,20.44%,-0.3246%,0.0225%,39.4793%,#NAME?,26.68%,#NAME?,1.3087%
5/15/98,530.72,532.71,20.44,-0.37%,,,-0.02%,-0.40%,,5/15/98,19.64%,-1.2189%,0.0898%,17.3184%,#NAME?,10.91%,#NAME?,-0.3738%
5/18/98,533.79,530.06,21.69,-1.08%,,,0.58%,-0.50%,,5/18/98,20.44%,-0.0226%,-0.3964%,48.4456%,#NAME?,22.83%,#NAME?,-1.0759%
5/19/98,536.28,530.67,20.39,-0.35%,,,0.47%,0.12%,,5/19/98,21.69%,0.5785%,-0.4975%,66.0779%,#NAME?,22.72%,#NAME?,-0.3514%
5/20/98,533.27,535.58,19.89,1.49%,,,-0.56%,0.93%,,5/20/98,20.39%,0.4665%,0.1151%,62.9333%,#NAME?,49.28%,#NAME?,1.4865%
5/21/98,529.82,534.52,19.38,0.45%,,,-0.65%,-0.20%,,5/21/98,19.89%,-0.5613%,0.9252%,32.7998%,#NAME?,23.25%,#NAME?,0.4490%
5/22/98,529.82,533.37,18.99,-0.22%,,,0.00%,-0.22%,,5/22/98,19.38%,-0.6470%,-0.1979%,30.4990%,#NAME?,16.98%,#NAME?,-0.2151%
5/25/98,521.21,533.37,18.99,1.63%,,,-1.63%,0.00%,,5/25/98,18.99%,0.0000%,-0.2151%,49.1258%,#NAME?,28.32%,#NAME?,1.6251%
5/26/98,522.67,526.65,22.07,-1.54%,,,0.28%,-1.26%,,5/26/98,18.99%,-1.6251%,0.0000%,10.5980%,#NAME?,7.11%,#NAME?,-1.5400%
5/27/98,524.79,522.50,22.59,-1.19%,,,0.41%,-0.79%,,5/27/98,22.07%,0.2801%,-1.2599%,57.5135%,#NAME?,8.48%,#NAME?,-1.1936%
5/28/98,521.00,525.66,20.74,1.33%,,,-0.72%,0.60%,,5/28/98,22.59%,0.4056%,-0.7880%,61.1855%,#NAME?,15.41%,#NAME?,1.3270%
5/29/98,518.35,524.05,21.32,0.20%,,,-0.51%,-0.31%,,5/29/98,20.74%,-0.7222%,0.6048%,28.5398%,#NAME?,19.09%,#NAME?,0.2024%
6/1/98,520.04,525.50,22.83,-0.05%,,,0.33%,0.28%,,6/1/98,21.32%,-0.5086%,-0.3063%,34.2471%,#NAME?,17.79%,#NAME?,-0.0493%
6/2/98,514.71,525.76,22.00,1.07%,,,-1.02%,0.05%,,6/2/98,22.83%,0.3260%,0.2767%,58.8664%,#NAME?,52.60%,#NAME?,1.0744%
6/3/98,522.43,521.72,22.85,-2.27%,,,1.50%,-0.77%,,6/3/98,22.00%,-1.0249%,0.0495%,21.3215%,#NAME?,13.09%,#NAME?,-2.2683%
6/4/98,531.91,525.05,21.22,-1.18%,,,1.81%,0.64%,,6/4/98,22.85%,1.4999%,-0.7684%,86.6476%,#NAME?,16.00%,#NAME?,-1.1763%
6/5/98,534.12,532.70,19.78,1.04%,,,0.42%,1.46%,,6/5/98,21.22%,1.8146%,0.6383%,91.1070%,#NAME?,77.17%,#NAME?,1.0415%
6/8/98,537.67,533.07,20.58,-0.60%,,,0.66%,0.07%,,6/8/98,19.78%,0.4155%,1.4570%,61.4707%,#NAME?,67.13%,#NAME?,-0.5952%
6/9/98,533.18,532.25,20.52,0.68%,,,-0.84%,-0.15%,,6/9/98,20.58%,0.6646%,0.0695%,68.4253%,#NAME?,48.89%,#NAME?,0.6813%
6/10/98,524.91,530.21,21.48,1.17%,,,-1.55%,-0.38%,,6/10/98,20.52%,-0.8351%,-0.1538%,25.7179%,#NAME?,14.57%,#NAME?,1.1678%
6/11/98,526.57,522.45,23.57,-1.78%,,,0.32%,-1.46%,,6/11/98,21.48%,-1.5511%,-0.3833%,11.6563%,#NAME?,6.88%,#NAME?,-1.7798%
6/12/98,516.79,523.42,22.78,2.04%,,,-1.86%,0.19%,,6/12/98,23.57%,0.3162%,-1.4636%,58.5788%,#NAME?,6.51%,#NAME?,2.0430%
6/15/98,524.15,513.17,25.94,-3.38%,,,1.42%,-1.96%,,6/15/98,22.78%,-1.8573%,0.1857%,7.7306%,#NAME?,5.61%,#NAME?,-3.3825%
6/16/98,532.71,515.40,24.80,-1.20%,,,1.63%,0.43%,,6/16/98,25.94%,1.4242%,-1.9583%,85.3776%,#NAME?,3.65%,#NAME?,-1.1986%
6/17/98,534.65,524.65,22.89,1.43%,,,0.36%,1.79%,,6/17/98,24.80%,1.6331%,0.4346%,88.6944%,#NAME?,69.70%,#NAME?,1.4305%
6/18/98,531.45,522.05,22.40,0.10%,,,-0.60%,-0.50%,,6/18/98,22.89%,0.3642%,1.7947%,59.9824%,#NAME?,65.20%,#NAME?,0.1030%
6/19/98,534.24,519.65,21.92,-0.98%,,,0.52%,-0.46%,,6/19/98,22.40%,-0.5985%,-0.4956%,31.7908%,#NAME?,14.16%,#NAME?,-0.9847%
6/22/98,543.81,520.03,21.94,-1.72%,,,1.79%,0.07%,,6/22/98,21.92%,0.5250%,-0.4597%,64.5885%,#NAME?,23.84%,#NAME?,-1.7182%
6/23/98,552.23,525.23,20.17,-0.55%,,,1.55%,1.00%,,6/23/98,21.94%,1.7913%,0.0731%,90.8211%,#NAME?,51.25%,#NAME?,-0.5484%
6/24/98,549.57,528.64,20.02,1.13%,,,-0.48%,0.65%,,6/24/98,20.17%,1.5483%,0.9999%,87.4196%,#NAME?,84.86%,#NAME?,1.1309%
6/25/98,552.03,528.15,20.25,-0.54%,,,0.45%,-0.09%,,6/25/98,20.02%,-0.4817%,0.6492%,34.9974%,#NAME?,25.47%,#NAME?,-0.5403%
6/26/98,556.22,528.86,19.36,-0.62%,,,0.76%,0.13%,,6/26/98,20.25%,0.4476%,-0.0927%,62.3946%,#NAME?,38.59%,#NAME?,-0.6246%
6/29/98,552.39,530.39,19.57,0.98%,,,-0.69%,0.29%,,6/29/98,19.36%,0.7590%,0.1344%,70.9128%,#NAME?,52.98%,#NAME?,0.9779%
6/30/98,558.33,529.92,19.71,-1.16%,,,1.08%,-0.09%,,6/30/98,19.57%,-0.6886%,0.2893%,29.4078%,#NAME?,19.46%,#NAME?,-1.1639%
7/1/98,556.94,537.45,18.00,1.67%,,,-0.25%,1.42%,,7/1/98,19.71%,1.0753%,-0.0886%,78.5097%,#NAME?,40.79%,#NAME?,1.6699%
7/2/98,556.94,537.22,17.67,-0.04%,,,0.00%,-0.04%,,7/2/98,18.00%,-0.2490%,1.4210%,41.6921%,#NAME?,34.12%,#NAME?,-0.0428%
7/3/98,563.37,537.22,17.67,-1.15%,,,1.15%,0.00%,,7/3/98,17.67%,0.0000%,-0.0428%,49.1258%,#NAME?,33.92%,#NAME?,-1.1545%
7/6/98,562.79,540.87,18.63,0.78%,,,-0.10%,0.68%,,7/6/98,17.67%,1.1545%,0.0000%,80.2139%,#NAME?,46.26%,#NAME?,0.7824%
7/7/98,569.16,539.69,18.62,-1.35%,,,1.13%,-0.22%,,7/7/98,18.63%,-0.1030%,0.6794%,46.0331%,#NAME?,40.17%,#NAME?,-1.3500%
7/8/98,567.53,544.37,17.82,1.15%,,,-0.29%,0.87%,,7/8/98,18.62%,1.1319%,-0.2182%,79.7348%,#NAME?,33.92%,#NAME?,1.1536%
7/9/98,571.25,539.51,18.16,-1.55%,,,0.66%,-0.89%,,7/9/98,17.82%,-0.2864%,0.8672%,40.5933%,#NAME?,32.42%,#NAME?,-1.5482%
7/10/98,573.56,540.33,17.92,-0.25%,,,0.40%,0.15%,,7/10/98,18.16%,0.6555%,-0.8928%,68.1788%,#NAME?,13.60%,#NAME?,-0.2524%
7/13/98,578.25,539.09,18.26,-1.05%,,,0.82%,-0.23%,,7/13/98,17.92%,0.4044%,0.1520%,61.1499%,#NAME?,49.95%,#NAME?,-1.0472%
7/14/98,578.74,544.90,17.88,0.99%,,,0.08%,1.08%,,7/14/98,18.26%,0.8177%,-0.2295%,72.4118%,#NAME?,33.15%,#NAME?,0.9930%
7/15/98,584.28,542.88,17.89,-1.33%,,,0.96%,-0.37%,,7/15/98,17.88%,0.0847%,1.0777%,51.6763%,#NAME?,50.99%,#NAME?,-1.3280%
7/16/98,586.34,545.39,16.97,0.11%,,,0.35%,0.46%,,7/16/98,17.89%,0.9573%,-0.3707%,75.8169%,#NAME?,27.34%,#NAME?,0.1098%
7/17/98,586.88,546.21,16.23,0.06%,,,0.09%,0.15%,,7/17/98,16.97%,0.3526%,0.4623%,59.6437%,#NAME?,57.69%,#NAME?,0.0583%
7/20/98,575.67,543.97,17.34,1.50%,,,-1.91%,-0.41%,,7/20/98,16.23%,0.0921%,0.1504%,51.8975%,#NAME?,42.51%,#NAME?,1.5000%
7/21/98,572.97,537.51,20.10,-0.72%,,,-0.47%,-1.19%,,7/21/98,17.34%,-1.9101%,-0.4101%,7.1697%,#NAME?,4.78%,#NAME?,-0.7185%
7/22/98,560.03,537.87,20.32,2.33%,,,-2.26%,0.07%,,7/22/98,20.10%,-0.4690%,-1.1876%,35.3520%,#NAME?,7.85%,#NAME?,2.3254%
7/23/98,560.78,528.48,23.01,-1.88%,,,0.13%,-1.75%,,7/23/98,20.32%,-2.2584%,0.0670%,4.2165%,#NAME?,3.56%,#NAME?,-1.8797%
7/24/98,564.11,527.37,23.01,-0.80%,,,0.59%,-0.21%,,7/24/98,23.01%,0.1339%,-1.7458%,53.1541%,#NAME?,4.54%,#NAME?,-0.8039%
7/27/98,555.86,528.75,23.13,1.72%,,,-1.46%,0.26%,,7/27/98,23.01%,0.5938%,-0.2100%,66.5011%,#NAME?,33.61%,#NAME?,1.7242%
7/28/98,550.94,520.85,25.25,-0.61%,,,-0.89%,-1.49%,,7/28/98,23.13%,-1.4625%,0.2617%,13.0189%,#NAME?,8.69%,#NAME?,-0.6090%
7/29/98,561.12,521.10,24.79,-1.80%,,,1.85%,0.05%,,7/29/98,25.25%,-0.8851%,-1.4941%,24.5154%,#NAME?,4.72%,#NAME?,-1.7998%
7/30/98,548.25,527.55,22.66,3.53%,,,-2.29%,1.24%,,7/30/98,24.79%,1.8478%,0.0480%,91.5029%,#NAME?,49.67%,#NAME?,3.5314%
7/31/98,544.79,520.03,24.80,-0.79%,,,-0.63%,-1.43%,,7/31/98,22.66%,-2.2936%,1.2378%,3.9829%,#NAME?,3.44%,#NAME?,-0.7944%
8/3/98,525.22,515.50,25.98,2.72%,,,-3.59%,-0.87%,,8/3/98,24.80%,-0.6311%,-1.4255%,30.9193%,#NAME?,5.65%,#NAME?,2.7211%
8/4/98,530.28,496.51,31.06,-4.65%,,,0.96%,-3.68%,,8/4/98,25.98%,-3.5922%,-0.8711%,0.3142%,#NAME?,0.79%,#NAME?,-4.6472%
8/5/98,536.99,498.31,29.83,-0.90%,,,1.27%,0.36%,,8/5/98,31.06%,0.9634%,-3.6838%,75.9616%,#NAME?,0.69%,#NAME?,-0.9028%
8/6/98,538.26,501.19,28.20,0.34%,,,0.24%,0.58%,,8/6/98,29.83%,1.2654%,0.3625%,82.4572%,#NAME?,65.93%,#NAME?,0.3415%
8/7/98,536.42,502.23,27.02,0.55%,,,-0.34%,0.21%,,8/7/98,28.20%,0.2365%,0.5780%,56.2201%,#NAME?,55.49%,#NAME?,0.5493%
8/10/98,528.42,498.10,28.75,0.67%,,,-1.49%,-0.82%,,8/10/98,27.02%,-0.3418%,0.2075%,38.9790%,#NAME?,28.37%,#NAME?,0.6690%
8/11/98,536.27,490.85,31.91,-2.94%,,,1.49%,-1.46%,,8/11/98,28.75%,-1.4914%,-0.8223%,12.5630%,#NAME?,5.76%,#NAME?,-2.9411%
8/12/98,531.03,498.17,28.55,2.47%,,,-0.98%,1.49%,,8/12/98,31.91%,1.4856%,-1.4555%,86.4135%,#NAME?,6.62%,#NAME?,2.4684%
8/13/98,525.68,494.88,29.92,0.35%,,,-1.01%,-0.66%,,8/13/98,28.55%,-0.9771%,1.4913%,22.3853%,#NAME?,14.46%,#NAME?,0.3471%
8/14/98,536.07,489.49,34.34,-3.07%,,,1.98%,-1.09%,,8/14/98,29.92%,-1.0075%,-0.6604%,21.7063%,#NAME?,9.15%,#NAME?,-3.0656%
8/17/98,545.03,497.00,31.86,-0.14%,,,1.67%,1.53%,,8/17/98,34.34%,1.9765%,-1.0892%,92.9156%,#NAME?,10.63%,#NAME?,-0.1372%
8/18/98,543.57,504.40,28.40,1.76%,,,-0.27%,1.49%,,8/18/98,31.86%,1.6714%,1.5342%,89.2390%,#NAME?,90.86%,#NAME?,1.7568%
8/19/98,540.39,502.11,28.69,0.13%,,,-0.59%,-0.45%,,8/19/98,28.40%,-0.2679%,1.4889%,41.1359%,#NAME?,33.34%,#NAME?,0.1310%
8/20/98,536.06,498.24,30.00,0.03%,,,-0.80%,-0.77%,,8/20/98,28.69%,-0.5850%,-0.4540%,32.1550%,#NAME?,14.82%,#NAME?,0.0305%
8/21/98,539.41,491.68,33.14,-1.94%,,,0.62%,-1.32%,,8/21/98,30.00%,-0.8013%,-0.7707%,26.5477%,#NAME?,9.71%,#NAME?,-1.9416%
8/24/98,543.15,493.96,31.80,-0.23%,,,0.69%,0.46%,,8/24/98,33.14%,0.6249%,-1.3166%,67.3521%,#NAME?,7.93%,#NAME?,-0.2296%
8/25/98,539.96,493.87,30.33,0.57%,,,-0.59%,-0.02%,,8/25/98,31.80%,0.6934%,0.4637%,69.1915%,#NAME?,65.25%,#NAME?,0.5691%
8/26/98,518.53,487.56,31.14,2.69%,,,-3.97%,-1.28%,,8/26/98,30.33%,-0.5873%,-0.0182%,32.0930%,#NAME?,19.99%,#NAME?,2.6911%
8/27/98,507.86,468.79,38.55,-1.79%,,,-2.06%,-3.85%,,8/27/98,31.14%,-3.9688%,-1.2777%,0.1277%,#NAME?,0.57%,#NAME?,-1.7920%
8/28/98,465.59,464.51,39.60,7.41%,,,-8.32%,-0.91%,,8/28/98,38.55%,-2.0577%,-3.8498%,5.7666%,#NAME?,0.45%,#NAME?,7.4102%
8/31/98,487.71,441.41,44.28,-9.72%,,,4.75%,-4.97%,,8/31/98,39.60%,-8.3232%,-0.9130%,0.0000%,#NAME?,0.05%,#NAME?,-9.7239%
9/1/98,486.44,452.33,36.48,2.73%,,,-0.26%,2.47%,,9/1/98,44.28%,4.7510%,-4.9730%,99.9817%,#NAME?,0.38%,#NAME?,2.7343%
9/2/98,482.89,451.72,36.76,0.59%,,,-0.73%,-0.13%,,9/2/98,36.48%,-0.2604%,2.4739%,41.3554%,#NAME?,33.67%,#NAME?,0.5949%
9/3/98,477.35,446.55,41.43,0.00%,,,-1.15%,-1.14%,,9/3/98,36.76%,-0.7298%,-0.1349%,28.3454%,#NAME?,16.28%,#NAME?,0.0027%
9/4/98,477.35,443.88,43.31,-0.60%,,,0.00%,-0.60%,,9/4/98,41.43%,-1.1473%,-1.1445%,18.7370%,#NAME?,5.75%,#NAME?,-0.5979%
9/7/98,504.86,443.88,43.31,-5.76%,,,5.76%,0.00%,,9/7/98,43.31%,0.0000%,-0.5979%,49.1258%,#NAME?,18.18%,#NAME?,-5.7631%
9/8/98,494.49,462.79,37.90,6.31%,,,-2.05%,4.26%,,9/8/98,43.31%,5.7631%,0.0000%,99.9992%,#NAME?,46.64%,#NAME?,6.3142%
9/9/98,480.69,457.32,39.66,1.61%,,,-2.79%,-1.18%,,9/9/98,37.90%,-2.0540%,4.2602%,5.7989%,#NAME?,4.53%,#NAME?,1.6088%
9/10/98,494.68,446.23,45.29,-5.34%,,,2.91%,-2.42%,,9/10/98,39.66%,-2.7908%,-1.1820%,1.6677%,#NAME?,1.52%,#NAME?,-5.3354%
9/11/98,503.98,458.65,43.74,0.90%,,,1.88%,2.78%,,9/11/98,45.29%,2.9104%,-2.4250%,98.5157%,#NAME?,2.30%,#NAME?,0.9033%
9/14/98,507.11,469.26,38.57,1.69%,,,0.62%,2.31%,,9/14/98,43.74%,1.8800%,2.7833%,91.8753%,#NAME?,94.55%,#NAME?,1.6923%
9/15/98,511.40,474.18,36.58,0.20%,,,0.85%,1.05%,,9/15/98,38.57%,0.6211%,2.3133%,67.2466%,#NAME?,75.31%,#NAME?,0.2025%
9/16/98,498.60,478.40,35.94,3.39%,,,-2.50%,0.89%,,9/16/98,36.58%,0.8460%,1.0485%,73.1202%,#NAME?,78.11%,#NAME?,3.3929%
9/17/98,499.56,467.24,39.23,-2.53%,,,0.19%,-2.33%,,9/17/98,35.94%,-2.5029%,0.8900%,2.8027%,#NAME?,2.73%,#NAME?,-2.5253%
9/18/98,502.59,469.00,38.63,-0.23%,,,0.61%,0.38%,,9/18/98,39.23%,0.1925%,-2.3328%,54.9095%,#NAME?,2.50%,#NAME?,-0.2299%
9/21/98,507.00,468.95,38.58,-0.89%,,,0.88%,-0.01%,,9/21/98,38.63%,0.6065%,0.3767%,66.8500%,#NAME?,61.32%,#NAME?,-0.8881%
9/22/98,523.97,470.72,36.62,-2.97%,,,3.35%,0.38%,,9/22/98,38.58%,0.8775%,-0.0107%,73.8982%,#NAME?,45.13%,#NAME?,-2.9697%
9/23/98,513.29,486.94,32.47,5.48%,,,-2.04%,3.45%,,9/23/98,36.62%,3.3471%,0.3774%,99.3857%,#NAME?,67.81%,#NAME?,5.4841%
9/24/98,514.53,476.04,34.66,-2.48%,,,0.24%,-2.24%,,9/24/98,32.47%,-2.0383%,3.4458%,5.9380%,#NAME?,4.62%,#NAME?,-2.4800%
9/25/98,516.54,476.13,34.55,-0.37%,,,0.39%,0.02%,,9/25/98,34.66%,0.2416%,-2.2385%,56.3709%,#NAME?,2.74%,#NAME?,-0.3717%
