timestamp,Price,prediction
1993-05-14 00:00:00,204.9,205.47842454367597
1993-05-17 00:00:00,205.87,205.30489718057316
1993-05-18 00:00:00,206.06,205.4744280264012
1993-05-19 00:00:00,209.8,205.65009961848085
1993-05-20 00:00:00,211.66,206.89506973293658
1993-05-21 00:00:00,209.48,208.32454881305557
1993-05-24 00:00:00,210.18,208.67118416913888
1993-05-25 00:00:00,210.5,209.1238289183972
1993-05-26 00:00:00,211.99,209.53668024287805
1993-05-27 00:00:00,210.74,210.27267617001462
1993-05-28 00:00:00,210.0,210.41287331901023
1993-05-31 00:00:00,210.0,210.28901132330716
1993-06-01 00:00:00,211.26,210.202307926315
1993-06-02 00:00:00,211.02,210.5196155484205
1993-06-03 00:00:00,210.11,210.66973088389432
1993-06-04 00:00:00,208.56,210.50181161872604
1993-06-07 00:00:00,207.06,209.91926813310823
1993-06-08 00:00:00,205.63,209.06148769317574
1993-06-09 00:00:00,205.94,208.032041385223
1993-06-10 00:00:00,206.07,207.40442896965607
1993-06-11 00:00:00,207.28,207.00410027875924
1993-06-14 00:00:00,207.74,207.08687019513147
1993-06-15 00:00:00,206.98,207.28280913659202
1993-06-16 00:00:00,207.7,207.1919663956144
1993-06-17 00:00:00,208.04,207.34437647693008
1993-06-18 00:00:00,205.14,207.55306353385106
1993-06-21 00:00:00,205.54,206.82914447369572
1993-06-22 00:00:00,205.01,206.44240113158696
1993-06-23 00:00:00,204.26,206.01268079211084
1993-06-24 00:00:00,205.93,205.48687655447756
1993-06-25 00:00:00,206.7,205.6198135881343
1993-06-28 00:00:00,208.25,205.94386951169398
1993-06-29 00:00:00,208.09,206.63570865818576
1993-06-30 00:00:00,207.49,207.07199606073002
1993-07-01 00:00:00,206.5,207.197397242511
1993-07-02 00:00:00,205.51,206.98817806975768
1993-07-05 00:00:00,205.51,206.54472464883037
1993-07-06 00:00:00,203.06,206.23430725418123
1993-07-07 00:00:00,203.33,205.28201507792687
1993-07-08 00:00:00,205.69,204.6964105545488
1993-07-09 00:00:00,205.77,204.99448738818415
1993-07-12 00:00:00,206.32,205.2271411717289
1993-07-13 00:00:00,206.53,205.55499882021022
1993-07-14 00:00:00,207.81,205.84749917414715
1993-07-15 00:00:00,207.24,206.43624942190297
1993-07-16 00:00:00,204.89,206.67737459533205
1993-07-19 00:00:00,204.13,206.14116221673243
1993-07-20 00:00:00,205.22,205.5378135517127
1993-07-21 00:00:00,204.55,205.4424694861989
1993-07-22 00:00:00,202.95,205.17472864033923
